ï»¿finess_et,raison_sociale,voie,adresse_complete,num_tel,num_fax,type_etablissement,date_ouverture,lat,lng,wgs84,COMMUNE,comune
780020558,HJ JEAN-MARTIN CHARCOT 78G16,DUBUC,18 R DUBUC,130886161,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,31584,48.6482446,1.8300573,"48.6482446, 1.8300573",RAMBOUILLET,http://www.wikidata.org/entity/Q191119
780825808,CENTRE MEDICO PSY.SECT.78 G 15,DE VALMOVEY,15 SQ DE VALMOVEY,130515885,130505850,Autres Etablissements de Lutte contre les Maladies Mentales,32506,48.7648466,1.9496833,"48.7648466, 1.9496833",MAUREPAS,http://www.wikidata.org/entity/Q94477
780825808,CENTRE MEDICO PSY.SECT.78 G 15,DE VALMOVEY,15 SQ DE VALMOVEY,130515885,130505850,Autres Etablissements de Lutte contre les Maladies Mentales,32506,48.7648466,1.9496833,"48.7648466, 1.9496833",MAUREPAS,http://www.wikidata.org/entity/Q397421
780809281,CENTRE MEDICO PSYCH. 78-G-04,DES TAMARIS,15 ALL DES TAMARIS,139280138,,Centres Hospitaliers,1556,48.9836271,1.9711769,"48.9836271, 1.9711769",VERNEUIL SUR SEINE,http://www.wikidata.org/entity/Q642326
950801399,CENTRE DE LONG SEJOUR J.B. CARTRY,GAMBETTA,12 BD GAMBETTA,134675500,130397788,Etablissements de Soins de Longue DurÃ©e,16438,49.1460735,1.9767876,"49.1460735, 1.9767876",MARINES,http://www.wikidata.org/entity/Q272060
950700021,CTRE READAPT. CHATAIGNERAIE MENUCOURT,BERNARD ASTRUC,R BERNARD ASTRUC,134466565,134667267,Etablissements de Soins de Suite et de RÃ©adaptation,28219,49.0301613,1.978075,"49.0301613, 1.978075",MENUCOURT,http://www.wikidata.org/entity/Q598679
910808294,CENTRE MEDICO-PSY.91-I-01,BIS RUE MICHEL,4  BIS RUE MICHEL,164592020,164592029,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.5304962,2.0126364,"48.5304962, 2.0126364",DOURDAN,http://www.wikidata.org/entity/Q646609
780018289,CMP ADOLESCENTS 78I06,JOUVENCEL,11B R JOUVENCEL,139639091,,Autres Etablissements de Lutte contre les Maladies Mentales,39111,48.8031397,2.1331757,"48.8031397, 2.1331757",VERSAILLES,http://www.wikidata.org/entity/Q621
910150028,CENTRE HOSPITALIER DE BLIGNY,DE BLIGNY,RTE DE BLIGNY,169263000,169263090,Etablissements de Soins de Courte DurÃ©e,16438,48.6224791,2.1471169,"48.6224791, 2.1471169",BRIIS SOUS FORGES,http://www.wikidata.org/entity/Q247783
780011748,HOPITAL DE JOUR HENRI MATISSE 78G09,JEAN JAURES,10 AV JEAN JAURES,130096500,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,36880,48.9054939,2.1521499,"48.9054939, 2.1521499",MONTESSON,http://www.wikidata.org/entity/Q830293
