properties__number,properties__name,properties__address,properties__lat,properties__lng,properties__availability,properties__code_insee,properties__bike_stands
3037,Paul Bert / Garibaldi,"209, Rue Paul Bert",45.75710286,4.853480797,Vert,69383,20
13001,Décines - Centre,"27, Rue Emile Bertrand",45.77187333,4.955766788,Vert,69275,20
9020,Bourbonnais,"45, Rue du Bourbonnais",45.77346457,4.800287929,Bleu,69389,12
6044,Charmettes / Bellecombe,"26, Rue de la Viabert",45.76637035,4.865084164,Vert,69386,16
3008,Institut Lumière,Cours Albert Thomas,45.74583323,4.870638711,Vert,69383,18
4002,Mairie du 4e,"133, Boulevard de la Croix Rousse",45.77420044,4.827765222,Vert,69384,20
20003,Oullins - Pont Blanc,"Face 56, Boulevard de l'Yzeron",45.72015778,4.798331732,Vert,69149,24
3081,Part-Dieu / Francfort,Rue Maurice Flandin,45.76060856,4.86308625,Vert,69383,28
4007,Place Flammarion,Place Flammarion,45.77932645,4.820303198,Vert,69384,18
1034,Carmélites,"Face 30, Montée des Carmélites",45.77000157,4.829269505,Vert,69381,16
19001,Saint Genis Laval - Médiathèque,49 Avenue Gorges Clémenceau,45.697812,4.79477285,Vert,69204,12
9049,Sergent Berthet / Gorge de Loup,"6, Rue Gorge de Loup",45.77013407,4.805158003,Vert,69389,16
3017,Saxe / Dunoir,"5, Rue Dunoir",45.76092139,4.845193599,Vert,69383,37
10021,GrandClément,Place GrandClément,45.75971832,4.889946936,Vert,69266,19
7023,Berthelot / Route de Vienne,"Face 41, Route de Vienne",45.7425795,4.850563756,Vert,69387,15
7049,Cité Scolaire Internationale,"26, Avenue Tony Garnier",45.72791886,4.823560081,Vert,69387,25
9002,Mairie du 9e,Rue du Bourbonnais,45.77424083,4.805666011,Vert,69389,27
10116,Blum / Faÿs,"171, Rue Léon Blum",45.76052124,4.90594544,Orange,69266,16
10054,Stalingrad / Meliès,"2, Rue Georges Meliès",45.77670576,4.859523354,Vert,69266,24
8054,Martinière / Monplaisir,"3, Rue Antoine Lumière",45.7408947,4.868305402,Vert,69388,20
7039,Guillotière / Madeleine,"106, Grande rue de la Guillotière",45.75105655,4.84804823,Vert,69387,10
2012,Gailleton,"4, Place Gailleton",45.7534495,4.833364552,Vert,69382,16
7006,Gerland,"Face 317, Avenue Jean Jaurès",45.72757328,4.831197482,Vert,69387,40
8023,Mermoz / Pinel,Avenue Jean Mermoz,45.73071397,4.887538766,Vert,69388,23
2035,Childebert / Rivière,"2, Rue Marcel-Gabriel Rivière",45.75988628,4.8357988,Vert,69382,23
3097,Augagneur / Fosse aux Ours,"28, Quai Victor Augagneur",45.7571997,4.840499138,Vert,69383,40
9008,L'Ile Barbe,"3, Quai Paul Sédallian",45.7974122,4.829046353,Vert,69389,16
9046,Mangini,"12, Rue Félix Mangini",45.79040881,4.816349392,Vert,69389,24
4042,Grégory Coupet,"79, Rue Philippe De Lassalle",45.78170011,4.820600046,Vert,69384,16
2038,Remparts d'Ainay,"15, Rue des Remparts d'Ainay",45.75308921,4.829807145,Vert,69382,24
3035,Philomène Magnin,"3, Rue Philomène Magnin",45.75261258,4.858771003,Vert,69383,24
9022,Masaryk / Saint-Cyr,Rue Masaryk,45.7786289,4.807120028,Vert,69389,13
3138,Vivier Merle / Paul Bert Ouest,"Face 65, Boulevard Vivier Merle",45.75753544,4.85848884,Vert,69383,19
3036,Félix Faure / Vivier Merle,"Face 106, Avenue Félix Faure",45.75381491,4.859855894,Gris,69383,35
7033,Saint-Luc / Saint-Joseph,"Face 22, Quai Claude Bernard",45.7494177,4.834752005,Vert,69387,28
7041,Domer / Chevreul,Rue Domer,45.74667483,4.844443466,Vert,69387,12
6045,Brotteaux / Vauban,44 bd des Brotteaux,45.76636731,4.857001876,Vert,69386,15
5047,Albéric Pont,"2, Rue Docteur Albéric Pont",45.75344434,4.804400989,Vert,69385,16
8053,Lumière / Trouilhet,"6, Rue Antoine Lumière",45.74356785,4.870101746,Vert,69388,16
8006,Place du 8 mai 1945,Rue Professeur Beauvisage,45.72976635,4.868166581,Vert,69388,20
12002,Vaulx - Poudrette / La Soie,"Face 2, Rue de la Poudrette",45.76440031,4.919275786,Vert,69256,20
10035,Boiron Granger,"45, Rrue Pierre Baratin",45.7631588,4.90047953,Vert,69266,16
3031,Corneille / Servient,"126, Rue Pierre Corneille",45.75998096,4.844489675,Vert,69383,13
3043,Place Rouget de L'Isle,Place Rouget de l'Isle,45.75396319,4.867353295,Vert,69383,16
6001,Gare des Brotteaux,Place Jules Ferry,45.76690958,4.858992167,Vert,69386,16
20001,Oullins - Gare,Avenue du Rhône,45.71702994,4.814135981,Vert,69149,40
10114,Bel Air / Les Brosses,Avenue de Bel Air,45.75790707,4.910806709,Vert,69266,20
3013,Place Antoinette,Place Antoinette,45.75365326,4.889242318,Vert,69383,21
10008,Salengro / Vaillant,"108, Rue Roger salengro",45.77836821,4.879673281,Vert,69266,24
3083,Les Halles,"183, Rue André Philip",45.76159093,4.850481163,Vert,69383,18
6024,Tronchet / Anatole France,"115, Rue Tronchet",45.77073715,4.856752177,Orange,69386,10
3068,Faure / Meynis,"202, Avenue Félix Faure",45.75506055,4.871397338,Vert,69383,28
