comune,comuneLabel,cordinate,comuneLabelCapital
http://www.wikidata.org/entity/Q16876,Chivres,Point(5.095833333 46.976388888),CHIVRES
http://www.wikidata.org/entity/Q16877,Broin,Point(5.108888888 47.078888888),BROIN
http://www.wikidata.org/entity/Q16878,Bousselange,Point(5.26 46.989166666),BOUSSELANGE
http://www.wikidata.org/entity/Q16879,Bonnencontre,Point(5.1475 47.083611111),BONNENCONTRE
http://www.wikidata.org/entity/Q16880,Bagnot,Point(5.075555555 47.059166666),BAGNOT
http://www.wikidata.org/entity/Q16881,Auvillars-sur-Saône,Point(5.102222222 47.0625),AUVILLARS-SUR-SAôNE
http://www.wikidata.org/entity/Q16882,Chamblanc,Point(5.150555555 47.019722222),CHAMBLANC
http://www.wikidata.org/entity/Q16883,Corgengoux,Point(4.988333333 46.990833333),CORGENGOUX
http://www.wikidata.org/entity/Q16887,Trugny,Point(5.145833333 46.982222222),TRUGNY
http://www.wikidata.org/entity/Q16888,Grosbois-lès-Tichey,Point(5.239722222 47.006666666),GROSBOIS-LèS-TICHEY
http://www.wikidata.org/entity/Q16889,Jallanges,Point(5.15 46.988333333),JALLANGES
http://www.wikidata.org/entity/Q16890,Labruyère,Point(5.150277777 47.043888888),LABRUYèRE
http://www.wikidata.org/entity/Q16891,Lanthes,Point(5.203888888 46.993611111),LANTHES
http://www.wikidata.org/entity/Q16892,Lechâtelet,Point(5.144166666 47.060555555),LECHâTELET
http://www.wikidata.org/entity/Q16893,Labergement-lès-Seurre,Point(5.0925 46.998055555),LABERGEMENT-LèS-SEURRE
http://www.wikidata.org/entity/Q16894,Pouilly-sur-Saône,Point(5.117222222 47.018333333),POUILLY-SUR-SAôNE
http://www.wikidata.org/entity/Q16895,Montmain,Point(5.064444444 47.028888888),MONTMAIN
http://www.wikidata.org/entity/Q16896,Seurre,Point(5.146666666 46.998611111),SEURRE
http://www.wikidata.org/entity/Q16897,Tichey,Point(5.283888888 47.012777777),TICHEY
http://www.wikidata.org/entity/Q16962,Allouis,Point(2.226944444 47.165833333),ALLOUIS
http://www.wikidata.org/entity/Q17173,Le Fousseret,Point(1.065555555 43.281666666),LE FOUSSERET
http://www.wikidata.org/entity/Q17393,Concarneau,Point(-3.918888888 47.875277777),CONCARNEAU
