CODE_UIC,LIBELLE,FRET,VOYAGEURS,CODE_LIGNE,RG_TRONCON,PK,COMMUNE,DEPARTEMEN,IDRESEAU,IDGAIA,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Geo Shape,comune,comuneLabel,cordinate,comuneLabel_capital,CODE_UIC.1,CODE_UIC_trimmed,sa_stop_id,sa_stop_name,sa_stop_desc,sa_stop_lat,sa_stop_lon,sa_zone_id,sa_stop_url,sa_location_type,sa_parent_station,sa_CODE_UIC,wiki_station_name,wiki_coordinates
87182055,Mulhouse-Dornach,O,O,115000,1,105+129,MULHOUSE,HAUT-RHIN,5712,297f12aa-dfbc-11e3-a2ff-01a464e0362d,1022672.994,6747305.212,7.308132636,47.7468982,"47.7468981987, 7.30813263571","47.7468981986, 7.30813263571","{""type"": ""Point"", ""coordinates"": [7.308132635705054, 47.746898198623505]}",http://www.wikidata.org/entity/Q79815,Mulhouse,Point(7.339166666 47.748611111,MULHOUSE,87182055,87182055,StopArea:OCE87182055,Gare de Mulhouse-Dornach,,47.74691054,7.30852543,,,1,,87182055,http://www.wikidata.org/entity/Q2253014,Point(7.3085 47.747
87271148,Ã‰pinay-sur-Seine,N,O,962000,1,016+667,EPINAY-SUR-SEINE,SEINE-SAINT-DENIS,72463,e14e632e-19bf-11e5-a6ff-01fc64e0362d,648908.3943,6872903.217,2.302366002,48.95405715,"48.954057145, 2.30236600224","48.9540571449, 2.30236600224","{""type"": ""Point"", ""coordinates"": [2.3023660022354, 48.95405714493677]}",,,,,87271148,87271148,,,,,,,,,,,,
87118505,Polisot,O,N,838000,1,203+775,POLISOT,AUBE,6042,c131baea-f312-11e3-90ff-015864e0362d,803096.7203,6775649.919,4.384352001,48.07309329,"48.0730932854, 4.38435200133","48.0730932854, 4.38435200133","{""type"": ""Point"", ""coordinates"": [4.384352001331834, 48.07309328537676]}",http://www.wikidata.org/entity/Q1104716,Polisot,Point(4.371944444 48.071666666,POLISOT,87118505,87118505,,,,,,,,,,,,
87396218,Conlie,N,O,420000,1,234+739,CONLIE,SARTHE,3801,29aaf38e-dfbc-11e3-a2ff-01a464e0362d,476037.5622,6785032.229,-0.010955511,48.12722428,"48.1272242761, -0.010955510941","48.1272242761, -0.010955510941","{""type"": ""Point"", ""coordinates"": [-0.010955510941008, 48.127224276065284]}",http://www.wikidata.org/entity/Q833363,Conlie,Point(-0.0175 48.123333333,CONLIE,87396218,87396218,StopArea:OCE87396218,Gare de Conlie,,48.12710604,-0.0110624,,,1,,87396218,http://www.wikidata.org/entity/Q2610924,Point(-0.011587 48.127358
87182832,ÃŽle-NapolÃ©on,O,N,124000,1,004+520,ILLZACH,HAUT-RHIN,4481,d9a2f17c-6667-11e3-89ff-01f464e0362d,1028728.509,6749952.759,7.390780767,47.76769045,"47.7676904547, 7.39078076713","47.7676904547, 7.39078076713","{""type"": ""Point"", ""coordinates"": [7.390780767133802, 47.76769045467737]}",http://www.wikidata.org/entity/Q274610,Illzach,Point(7.348055555 47.782222222,ILLZACH,87182832,87182832,,,,,,,,,,,,
87673129,Laluque,O,N,655000,1,133+755,LALUQUE,LANDES,4827,e1b22ef0-19bf-11e5-a6ff-01fc64e0362d,380953.0933,6310858.226,-0.967297984,43.82458727,"43.8245872706, -0.967297983881","43.8245872706, -0.967297983881","{""type"": ""Point"", ""coordinates"": [-0.967297983881245, 43.82458727057974]}",http://www.wikidata.org/entity/Q1114223,Laluque,Point(-0.992777777 43.853888888,LALUQUE,87673129,87673129,,,,,,,,,,,,
87313247,Breteuil-Embranchement,O,O,272000,1,094+852,BACOUÃ‹L,OISE,3380,c0a1875c-f312-11e3-90ff-015864e0362d,655487.1798,6947675.324,2.384230934,49.62668016,"49.6266801631, 2.38423093409","49.6266801631, 2.38423093409","{""type"": ""Point"", ""coordinates"": [2.384230934090903, 49.626680163091514]}",,,,,87313247,87313247,StopArea:OCE87313247,Gare de Breteuil-Embranchement,,49.6264071,2.38471716,,,1,,87313247,,
87214130,Matzenheim,N,O,115000,1,022+848,MATZENHEIM,BAS-RHIN,5416,d994fec8-6667-11e3-89ff-01f464e0362d,1041730.42,6820947.718,7.619474991,48.39883366,"48.3988336626, 7.61947499096","48.3988336626, 7.61947499096","{""type"": ""Point"", ""coordinates"": [7.619474990958997, 48.3988336625753]}",http://www.wikidata.org/entity/Q21368,Matzenheim,Point(7.622777777 48.395,MATZENHEIM,87214130,87214130,StopArea:OCE87214130,Gare de Matzenheim,,48.39898373,7.61960852,,,1,,87214130,,
87212050,Strasbourg-Cronenbourg,O,N,70346,1,000+000,STRASBOURG,BAS-RHIN,6896,e54c545e-6667-11e3-a7ff-01f464e0362d,1048429.014,6843809.339,7.728295911,48.60056992,"48.6005699244, 7.72829591067","48.6005699244, 7.72829591067","{""type"": ""Point"", ""coordinates"": [7.728295910670467, 48.60056992438138]}",http://www.wikidata.org/entity/Q6602,Strasbourg,Point(7.752222222 48.573333333,STRASBOURG,87212050,87212050,,,,,,,,,,,,
87545293,Vitry-sur-Seine,O,O,570000,1,005+373,VITRY-SUR-SEINE,VAL-DE-MARNE,7312,e19861ee-19bf-11e5-a6ff-01fc64e0362d,656188.0114,6855580.399,2.403548612,48.7988139,"48.7988139044, 2.40354861239","48.7988139043, 2.40354861239","{""type"": ""Point"", ""coordinates"": [2.403548612394371, 48.79881390434725]}",http://www.wikidata.org/entity/Q72248,Vitry-sur-Seine,Point(2.392777777 48.7875,VITRY-SUR-SEINE,87545293,87545293,,,,,,,,,,,,
