"datasetid","recordid","fields__etat","fields__lastupdate","fields__nombrevelosdisponibles","fields__nombreemplacementsactuels","fields__nom","fields__nombreemplacementsdisponibles","fields__idstation","fields__coordonnees__001","fields__coordonnees__002","geometry__type","geometry__coordinates__001","geometry__coordinates__002","record_timestamp"
"etat-des-stations-le-velo-star-en-temps-reel","88a8871cd455b991aae541e2d60ebdab34840e3e","En fonctionnement","2020-12-18T15:49:08+00:00","8","15","Musée Beaux-Arts","7","5510","48.109601","-1.67408","Point","-1.67408","48.109601","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","b476b4248e499552a1449cb8afe72cc68c83c060","En fonctionnement","2020-12-18T15:49:08+00:00","6","24","Champs Libres","18","5516","48.105537","-1.674328","Point","-1.674328","48.105537","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","bd0f83abcec2974fda4a9be7b78f4bfbb3af4b27","En fonctionnement","2020-12-18T15:49:08+00:00","6","24","Brest - Verdun","18","5534","48.113009","-1.693264","Point","-1.693264","48.113009","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","bc23b982c96a853bb90665c1d574e7d9c204daed","En fonctionnement","2020-12-18T15:49:08+00:00","12","20","Marbeuf","8","5538","48.111749","-1.702077","Point","-1.702077","48.111749","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","77cac0a1ecd7f2af56c8668b201afe2a20e1c6bb","En fonctionnement","2020-12-18T15:49:08+00:00","10","24","Plaine de Baud","14","5546","48.112461","-1.643674","Point","-1.643674","48.112461","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","f31381b27f50bb4bc23672b3ea5cc7abfca309c3","En fonctionnement","2020-12-18T15:49:08+00:00","0","18","Gros-Chêne","18","5578","48.126795","-1.665101","Point","-1.665101","48.126795","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","7612c409a64e0434defb0d56508363c591be8afe","En panne","2020-12-18T15:49:08+00:00","0","0","Painlevé","0","5580","48.122994","-1.660547","Point","-1.660547","48.122994","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","0cedc710c25c3651e1d950725c9633a9065fd871","En panne","2020-12-10T09:50:07+00:00","0","16","Turmel","16","5581","48.122147","-1.650808","Point","-1.650808","48.122147","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","1ee377102079bbe4ea444ded261fd2dcbfe8d3fb","En panne","2020-12-18T15:49:08+00:00","0","24","La Poterie","24","5582","48.087282","-1.644121","Point","-1.644121","48.087282","2020-12-18T15:49:00+00:00"
"etat-des-stations-le-velo-star-en-temps-reel","a226d7f1b153bc8736f2e19a35456f03c3596a5d","En fonctionnement","2020-12-18T15:49:08+00:00","6","20","Pont de Strasbourg","14","5587","48.109859","-1.656028","Point","-1.656028","48.109859","2020-12-18T15:49:00+00:00"
